Postnummer;Poststed;FylkeKode;Fylke;KommuneKode;Kommune;PostnummerKategoriKode;PostnummerKategori;Latitude;Longitude
5033;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4036480;5.3245390
5034;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3896030;5.2851100
5035;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4086300;5.3209500
5036;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4079000;5.3250600
5037;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4066790;5.3284070
5038;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4280800;5.3018000
5039;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4365370;5.2861400
5041;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4232600;5.3064300
5042;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4211620;5.3051830
5043;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4246570;5.2978990
5045;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4229400;5.3024300
5052;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3713600;5.3537800
5053;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3747570;5.3482820
5054;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3746510;5.3379770
5055;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3722400;5.3341900
5056;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3781400;5.3240830
5057;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3782780;5.3241340
5058;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3780870;5.3311590
5059;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3714130;5.3476490
5063;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3651500;5.3518500
5067;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3627900;5.3567820
5068;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3580150;5.3427010
5072;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3501200;5.3477500
5073;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3547030;5.3361970
