Postnummer;Poststed;FylkeKode;Fylke;KommuneKode;Kommune;PostnummerKategoriKode;PostnummerKategori;Latitude;Longitude
4657;KJEVIK;10;VEST-AGDER;1001;KRISTIANSAND;G;Gateadresser og stedsadresser;58.2073300;8.0799100
4658;TVEIT;10;VEST-AGDER;1001;KRISTIANSAND;G;Gateadresser og stedsadresser;58.2315200;8.1209600
4659;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1725000;8.1269000
4661;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1450200;7.9923200
4662;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1450200;7.9923200
4663;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1450200;7.9923200
4664;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1450200;7.9923200
4665;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1450200;7.9923200
4666;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1450200;7.9923200
4670;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1341000;7.9536000
4671;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1882400;7.9290300
4672;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1452900;7.9924900
4673;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1490900;7.9726800
4674;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1483900;7.9244000
4675;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1248400;7.9532800
4676;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1248400;7.9532800
4677;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1113300;7.9526700
4678;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1487800;8.0045400
4679;FLEKKERØY;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.0804300;8.0000300
4681;SØGNE;10;VEST-AGDER;1018;SØGNE;P;Postbokser;58.0749000;7.8623000
4682;SØGNE;10;VEST-AGDER;1018;SØGNE;P;Postbokser;58.0967500;7.8130400
4683;SØGNE;10;VEST-AGDER;1018;SØGNE;P;Postbokser;58.0967500;7.8130400
4684;BRENNÅSEN;10;VEST-AGDER;1017;SONGDALEN;P;Postbokser;58.1351000;7.8564000
4685;NODELAND;10;VEST-AGDER;1017;SONGDALEN;P;Postbokser;58.1548500;7.8363100
4686;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1621200;8.0084200
4687;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1510000;8.0255800
4688;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1510000;8.0255800
4689;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1661100;8.0358900
4691;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1519300;8.0571800
4693;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1811100;8.0888800
4694;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.2008000;8.0312000
4695;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1336000;8.0739000
4696;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1725000;8.1271000
4697;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.1725000;8.1271000
4698;KRISTIANSAND S;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;(blank);(blank)
4699;TVEIT;10;VEST-AGDER;1001;KRISTIANSAND;P;Postbokser;58.2326600;8.1225500
4700;VENNESLA;10;VEST-AGDER;1014;VENNESLA;G;Gateadresser og stedsadresser;58.2701700;7.9733900
4701;VENNESLA;10;VEST-AGDER;1014;VENNESLA;P;Postbokser;58.2693900;7.9718900
4702;VENNESLA;10;VEST-AGDER;1014;VENNESLA;P;Postbokser;58.2693900;7.9718900
4703;VENNESLA;10;VEST-AGDER;1014;VENNESLA;P;Postbokser;58.2693900;7.9718900
4705;ØVREBØ;10;VEST-AGDER;1014;VENNESLA;P;Postbokser;58.2952400;7.8404400
4715;ØVREBØ;10;VEST-AGDER;1014;VENNESLA;G;Gateadresser og stedsadresser;58.2907000;7.7776000
4720;HÆGELAND;10;VEST-AGDER;1014;VENNESLA;B;Både gateadresser og postbokser;58.3842700;7.7401600
4724;IVELAND;9;AUST-AGDER;935;IVELAND;B;Både gateadresser og postbokser;58.4620800;7.9113150
4730;VATNESTRØM;9;AUST-AGDER;935;IVELAND;G;Gateadresser og stedsadresser;58.4178100;8.0635000
4733;EVJE;9;AUST-AGDER;937;EVJE OG HORNNES;P;Postbokser;58.5861200;7.8060900
4734;EVJE;9;AUST-AGDER;937;EVJE OG HORNNES;P;Postbokser;58.5861200;7.8060900
4735;EVJE;9;AUST-AGDER;937;EVJE OG HORNNES;B;Både gateadresser og postbokser;58.5861200;7.8060900
4737;HORNNES;9;AUST-AGDER;937;EVJE OG HORNNES;G;Gateadresser og stedsadresser;58.5624560;7.7719240
4741;BYGLANDSFJORD;9;AUST-AGDER;938;BYGLAND;G;Gateadresser og stedsadresser;58.6679900;7.8072500
4742;GRENDI;9;AUST-AGDER;938;BYGLAND;B;Både gateadresser og postbokser;58.7086200;7.8244400
